shared_n	A_index	A_text	A_original_n	B_index	B_text	B_original_n	C_index	C_text	C_original_n	P_index	P_text	P_original_n	R_index	R_text	R_original_n	S_index	S_text	S_original_n
19	19.0	S'a la chemise presantee		19.0	S'a la cemise presentee		19.0	S'a la chemise presentee		19.0	S'a la cemise presentee		19.0	S'a la chemise presentee		19.0	S'a la chemisse presentee	
20	20.0	Celui cui ele molt agree		20.0	Celui qui ele mius agree		20.0	Celui qui ele molt agree		20.0	Celui cui le molt agre		20.0	Celui cui ele molt agree		20.0	Celui cui elle molt agree	
21	21.0	Et por ce plus chiere la tint		21.0	Et par ce plus chierre le tint		21.0	Mais por ce plus chiere la tint		21.0	Et por cou plus ciere le tient		21.0	Et por ce plus chere la tint		21.0	Et por ce plus chiere la tient	
22	22.0	Que devers la reine vint		22.0	Que devers la roine vint		22.0	Que depar la reine vint		22.0	Que devers la roine vint		22.0	Que devers la roine vint		22.0	Que de par la reine vient	
23	23.0	Mes s'il seust le soreplus		23.0	Mais s'il seust le soreplus		23.0	Et s'il seust le soreplus		23.0	Mais s'il i seust le sorplus		23.0	Et s'il seust le sorplus		23.0	Mais s'il saust le soreplus	
24	24.0	Ancor l'amast il assez plus		24.0	Il l'amast encor asses plus		24.0	Encor l'amast il assez plus		24.0	Encor l'amast il asses plus		24.0	Encor l'amast il assez plus		24.0	Encor l'amast il assez plus	
25	25.0	[58e] Car an eschange n'an preist		25.0	Car en escange n'em presist		25.0	Car en eschange na preist		25.0	Car en escange n'en presist		25.0	Quar a eschange n'en preist		25.0	Car nul eschange n'en preist	
26	26.0	Tot le monde qui li meist		26.0	Trestot le mont ains en fesist		26.0	Trestout le monde einz en feist		26.0	Tot le monde ancois en fesist		26.0	Trestot le mont ainz en feist		26.0	[29b] Tot le monde ancois en feist	
27				27.0	Saintuaire si com jo quit		27.0	Sentuaire si com je cuit		27.0	Une ymage si com je cuit		27.0	Saintuarie si com je cuit		27.0	Seintuayre si com je cuit	
28				28.0	Si l'aorast et jor et nuit		28.0	Si l'aorast et jor et nuit		28.0	Si l'aorast et jor et nuit		28.0	S'il l'aorast et jor et nuist		28.0	Et l'aorast et jor et nuit	
29	27.0	Alixandre plus ne demore		29.0	Alixandre plus n'i demore		29.0	Alixandre plus ne demore		29.0	Alixandre plus ne demeure		29.0	Alixandre plus ne demore		29.0	Alixandre plus n'i demore	
30	28.0	Qu'il ne se veste en icele ore		30.0	Que il ne se veste en cele ore		30.0	Qu'il ne se veste en icele hore		30.0	Qu'il ne se veste en icele eure		30.0	Qu'il ne se veste en icele ore		30.0	Qu'il ne se veste en icele oure	
31	29.0	Quant vestuz fu et atornez		31.0	Quant fu vestus et atornes		31.0	Quant vestuz fu et atornez		31.0	[270a] Quant fu vestus et atornes		31.0	Quant vestu fu et atorne		31.0	Quant vestuz fu et atornes	
32				32.0	S'est al tref al roi retornes		32.0	Au tref le roi est retornez		32.0	Au tref le roi est retornes		32.0	Al tref le roi est retornez				
33	30.0	Au tres le roi s'an est alez														32.0	Au tre le roi en sont ale	
34	31.0	Et tuit si conpagnon ansanble		33.0	Et tot si compaignon ensamble		33.0	Et tuit si compeignon ensemble		33.0	Et tot si compaignon ensamble		33.0	Et tuit si compaignon ensemble		33.0	Et tui si compaignon ansanble	
35	32.0	La reine si com moi sanble		34.0	La roine si com mo samble		34.0	La roine si com moi semble		34.0	La roine si com moi samble		34.0	La roine si com me samble		34.0	La reyne si com moi samble	
36	33.0	Fu autres venue seoir		35.0	Si estoit venue seoir		35.0	Fu au tref venue seoir		35.0	Se fu venue au tref seoir		35.0	Fu al tref venue seoir		35.0	Fu trop venue seoir	
37	34.0	Por ce qu'ele voloit veoir		36.0	Por ce qu'ele voloit veoir		36.0	[90c] Por ce que voloit veoir		36.0	Por cou qu'ele voloit veoir		36.0	Por ce qu'ele voloit veoir		36.0	Por ce que le voloit veoir	
38	35.0	Les noviax chevaliers venir		37.0	Les noviax chevaliers venir		37.0	Les noviaus chevaliers venir		37.0	Les noviaus chevaliers venir		37.0	Les noviax chivaliers venir		37.0	Les noveuz chevaliers venir	
39	36.0	Por biax les poist an tenir		38.0	Por biax les pooit on tenir		38.0	Por biaus les pooit en tenir		38.0	Por biaus les pooit on tenir		38.0	Por biax les pooit l'em tenir		38.0	Po biauz les poit on tenir	
40	37.0	Mes de toz li plus biax estoit		39.0	Mais de tous li plus biax estoit		39.0	Mais de touz li plus biau[s] s'estoit					39.0	Mais de toz li plus beax estoit		39.0	Mais de toz li plus biauz estoit	
41	38.0	Alixandre au cors adroit		40.0	Alixandre al cors al droit		40.0	Alixandre au cors adroit					40.0	[35a] alixandre al cors a droit		40.0	Alixandre au cors adroit	
42	39.0	Chevalier sont des or m'an tes		41.0	Cevalier sont des or m'en tes		41.0	Chevaliers sont des or m'en tais		39.0	Chevaliers sont atant m'en tais		41.0	Chivalier sunt des or me tais		41.0	Chivaller sont atant me tais	
43	40.0	Del roi parlerai desormes		42.0	De l'ost parlerai desormes		42.0	De l'ost parlerai desormais		40.0	Del roi ne parlerai or mais		42.0	De l'ost parlerai des ormais		42.0	Do roy parlerai desormais	
44	41.0	Et de l'ost qui a Londres vint		43.0	Et del roi qui a londres vint		43.0	Et dou roi qui a Londres vint		41.0	Et de l'ost qui a Londres vint		43.0	Et del roi qui a londres vint		43.0	Et de l'ost qui a Landres vint	
45	42.0	Li plus des genz a lui se tint		44.0	Li plus dess-jens avolc lui vint		44.0	Li plus des genz a lui se tint		42.0	Li plus des gens a lui se tint		44.0	Li plus des genz a lui se tint		44.0	Li plus des janz a lui se tin	
46	43.0	Et contre lui an ra grant masse		45.0	Encontre lui en tot grant masse		45.0	Encontre lui en ra grant masse		43.0	Encontre lui en va grant masse		45.0	Encontre lui en ot grant masse		45.0	Encontre lui en i a grant masse	
47	44.0	Li cuens Angres ses genz amasse		46.0	Li quens engres sa gent amasse		46.0	Li cuens Engres ses genz amasse		44.0	Li cuens Engres ses gens amasse		46.0	Li quens engres ses gens amasse		46.0	Li cuens Angres ses janz amasse	
48	45.0	Quan que vers lui an pot torner		47.0	Quanque vers lui en pot torner		47.0	Quanque vers lui en por trover		45.0	Quant vers lui en puet torner		47.0	Quanques vers lui en puet torner		47.0	Quant que vers lui an post torner	
49	46.0	Por prometre ne por doner		48.0	Par prometre ne par doner		48.0	Par prometre ne par doner		46.0	Par prometre ne par doner		48.0	Par prometre ne par doner		48.0	Por prometre ne por doner	
50	47.0	Quant il ot sa gent asanblee		49.0	Quant il ot sa gent amasse		49.0	Quant il ot sa gent assemblee		47.0	Quant il ot sa gent assamblee		49.0	Quant il ot sa gent assemblee		49.0	Quant il ot sa jant asanble	
51	48.0	Par nuit s'an foi an enblee		50.0	Per nuit s'en furent en emblee		50.0	Par nuit s'en foi en enblee		48.0	Par nuit s'en fui a emblee		50.0	Par nuit s'en fuient en emblee		50.0	Par nuit s'an foi par enblee	
52	49.0	Car de plusors estoit haiz		51.0	Car de pluisors estoit hais		51.0	Car de plusors estoit haiz		49.0	Car des pluisors estoit hais		51.0	Quar de plusors genz ert haiz		51.0	Que de plusors l'estoit haiz	
53	50.0	Si redotoit estre traiz		52.0	Si cremoit estre trais		52.0	Si recuidoit estre traiz		50.0	Si redoutois estre trais		52.0	Si redotoit estre trahiz		52.0	Si redotoit estre traiz	
54	51.0	Mes aincois que il s'an foist		53.0	Mais ancois que il s'en fuist		53.0	Mes eincois que il s'en foist		51.0	Mais ancois que il s'en fuist		53.0	Mais aincois qu'il s'en foist		53.0	Mais ancois qu'il s'en foist	
55	52.0	Quan que il pot a Londres prist		54.0	Qanque il pot a londres prist		54.0	Quanque il pot a Londres prist		52.0	Quanques il pot a Londres prist		54.0	Quanqu'il pot a londres prist		54.0	Quant que il por a Londres prist	
56	53.0	De vitaille d'or et d'argent		55.0	De vitaille d'or et d'argent		55.0	De vitaille d'or et d'argent		53.0	De vitaille d'or et d'argent		55.0	De vitaille d'or et d'argent		55.0	De ventailles d'or et d'argent	
57	54.0	Si departi tot a sa gent		56.0	Si departi tot a sa gent		56.0	Si le departi a sa gent		54.0	Si departi tot a sa gent		56.0	Si le departi a sa gent		56.0	Si desparti tot a sa jant	
58	55.0	Au roi sont les noveles dites		57.0	Al roi sont les noveles dites		57.0	Au roi sont les noveles dites		55.0	Au roi sont les noveles dites		57.0	Al roi sont les noveles dites		57.0	Au roi sont les novelles dites	
59	56.0	Que foiz s'an est li traites		58.0	Que fuis s'en est li traites		58.0	Que foiz s'en est li traitres		56.0	Que fuis s'en est li traites		58.0	Que foiz s'en est li traitres		58.0	Que foys s'en est li traitres	
60	57.0	Avoec lui tote sa bataille		59.0	Avolc lui tote sa bataille		59.0	Avec lui toute sa bataille		57.0	Avoec lui toute sa bataille		59.0	Avec lui sa tote sa bataille		59.0	Avec lui tote sa bataille	
61	58.0	Et que tant avoit de vitaille		60.0	Et que tant avoit de vitaille		60.0	Et que tant avoit de vitaille		58.0	Et que tant avoit de vitaille		60.0	Et que tant avoit de vitaille		60.0	Et quant qu'il avoit de vitalle	
62	59.0	Et d'avoir pris an la cite		61.0	Et d'avoir pris en la cite		61.0	Et d'avoir pris en la cite		59.0	Et d'avoir pris en la cite		61.0	Et d'avoir pris en la cite		61.0	Et d'avoir prisent la cite	
63	60.0	Qu'apovri et deserite		62.0	Qu'apovri et desirite		62.0	Que tuit erent deserite		60.0	K'apovri et desirete		62.0	Qu'apoveri et deserite		62.0	Que povro et deserite sont	
64	61.0	Sont li borjois et confondu		63.0	[192b] sont li borjois et confondu		63.0	Li borjois et tuit confundu		61.0	Sont li borgois et confondu		63.0	Sont li borgois et confondu		63.0	Sont li borjois et confondu	
65	62.0	Et li rois a tant respondu		64.0	Et li rois a tant respondu		64.0	Et li rois a tant respondu		62.0	Et li rois a tant respondu		64.0	Et li rois a tant respondu		64.0	[29c] Et li rois a tant respondu	
66	63.0	Que ja reancon n'an prendra		65.0	Que ja raancon ne prandra		65.0	Que ja reencon n'en prendra		63.0	Que ja raencon n'en prendra		65.0	Que ja raencon ne prendra		65.0	Que ja reencon n'i avra	
67	64.0	Del traitor einz le pandra		66.0	Del traitor ains le pendra		66.0	Dou traitor einz le pendra		64.0	Del traitor ains le pendra		66.0	Del traitor qinz le pendra		66.0	Del traytor ainz lo pendra	
68	65.0	Se prendre ne tenir le puet		67.0	Se prendre ne bailler ne puet		67.0	Se prendre ne baillier le puet		65.0	Se baillier et prendre le puet		67.0	Si prendre ne baillier le poet		67.0	Se pandre ne baillier le puet	
69	66.0	Maintenant tote l'oz s'esmuet		68.0	Maintenant tote l'os s'esmoet		68.0	Meintenant tout l'ost s'esmuet		66.0	Maintenant tote l'os s'esmuet		68.0	Maintenant tote l'ost se moet		68.0	Maintenant tote l'ot se muet	
70	67.0	Tant qu'il vindrent a Guinesores		69.0	Tant qu'il vinrent a windesores		69.0	Tant qu'il vindrent a Guinesores		67.0	Tant qu'il vinrent a Ginessore		69.0	Tant qu'il vindrent a guinesores		69.0	Tant qu'il vindrent a Guinesores	
71	68.0	A ce jor comant qu'il soit ores		70.0	A cel jor comment que sot ores		70.0	A cel jor comment qu'il soit hores		68.0	A cel jor comment qu'il soit ore		70.0	A cel jor coment qu'il soit ores		70.0	A cel jor comant qu'il soit ores	
72	69.0	[58f] Qui le chastel volsist desfandre		71.0	Qui le castel vausist desfendre		71.0	Qui le chastel volsist deffendre		69.0	Qui le castel vausist deffendre		71.0	Qui le chastel volsist defendre		71.0	Que lo chastel volsist defende	
73	70.0	Ne fust mie legier a prendre		72.0	Ne fust mie legiers a prendre		72.0	Ne fust mie legiers a prendre		70.0	Ne fust mie legiers a prendre		72.0	Ne fust il pas leger a prendre		72.0	Ne fust mie legiers a pendre	
74	71.0	Car li traitres le ferma		73.0	Que li traitre le ferma		73.0	Car li traitres le ferma		71.0	Car li traitor le fermerent		73.0	Quar li traitres le ferma		73.0	Que li traitres lo ferma	
75	72.0	Des que la traison soucha		74.0	Quant il la traison sosca		74.0	Tant com la traisons dura		72.0	Tantost que traison penserent		74.0	Tant com la traisons dura		74.0	Des que la traison sot ja	
76	73.0	De dobles murs et de fossez		75.0	De trebles murs et de fosses		75.0	De treble mur et de fosses		73.0	De treble mur et de fosse		75.0	De treble nuit et de fossez		75.0	Deforz murs et de fossez	
77	74.0	Et s'avoit les murs adossez		76.0	Et s'avoit les murs adosses		76.0	Et s'avoit les murs adossez		74.0	Et savoit le mur adosse		76.0	Et savoit les murs adossez		76.0	Et s'avoit les murs adosez	
78	75.0	De pex aguz et de darciere		77.0	De fors aiges par de deriere		77.0	De forz engins par de desriere		75.0	De molt fors peus par de desriere		77.0	De forz engins par deriere		77.0	De fort cue par de dariere	
79	76.0	Qu'il ne cheissent par derriere		78.0	Qu'il ne caissent par perieres		78.0	Qu'il ne cheissent par proiere		76.0	Qu'il ne caissent por perriere		78.0	Qu'il ne chaissent par perriere		78.0	Que il ne chaiset ariers	
80	77.0	Au fermer avoit mis grant coust		79.0	Al fermer avoit mis grant cost		79.0	Au fermer avoit mis grant cost		77.0	Au fremer avoit mis gran coust		79.0	Al fermer avoit mis grant cost		79.0	A fermer avoit mis grant eost	
81	78.0	Tot juing et juingnet et aoust		80.0	Tot juing et [j]uignet et aost		80.0	[90d] Tout juing et juignet et aost		78.0	Tot juin et juignet et aoust		80.0	[35b] tot joing et joignet et a ost		80.0	Tot un iver aun aost	
82				81.0	A faire murs et roellis		81.0	A fere murs et roilleiz		79.0	A faire murs et roilleis		81.0	A faire murs et roeilliz		81.0	A faire murs et toolliez	
83	79.0	Molt au feire le roilleiz																
84	80.0	Et fossez et pont torneiz		82.0	Et fosses et pons toneis		82.0	Et fossez et ponz torneiz		80.0	Et fosses et pons torneis		82.0	Et fossez et pont torniz		82.0	Et fossez e ponz tornoiz	
85	81.0	Tranchiees et barres et lices		83.0	Et trancies bares et lices		83.0	Trenchiees et barres et lices		81.0	Trencies et bares et lices		83.0	Trenchiees et barres et licez		83.0	Trancheiz et barres et lices	
86	82.0	Et portes de fer coleices		84.0	Et portes de fer coleices		84.0	Et portes de fer coleices		82.0	Et portes de fer couleices		84.0	Et portes de fer coleicez		84.0	Et portes de fer coleises	
87	83.0	Et grant tor de pierre quarree		85.0	De piere forte tor qaree		85.0	Et fort tor de pierre quarree		83.0	Et grant tour de piere quarre		85.0	Et forte tor de pierre quarree		85.0	Et granz tors de pierres quarees	
88	84.0	Onques n'i ot porte fermee		86.0	Onques n'i ot resne tiree		86.0	Onques n'i ot porte serree		84.0	Onques n'i ot porte fermee		86.0	S'onques n'i ot porte serree		86.0	Onques n'i ot porte fermee	
89	85.0	Ne por peor ne por assaut		87.0	Ne por paor ne por assalt		87.0	Ne por poor ne por asaut		85.0	Ne por paor ne por assaut		87.0	Ne por poor ne por assault		87.0	Ne por paor ne por asaut	
90	86.0	Li chastiax sist en un pui haut		88.0	Li castiax sist en i poi halt		88.0	Li chastiaus sist .i. poi en haut		86.0	Li castiaus sist en .j. pui haut		88.0	Li chastiax sist en i pui en halt		88.0	Li chastiauz siet en un pui haut	
91	87.0	Et par desoz li cort Tamise		89.0	Et par devant li vint tamise		89.0	Et par devant li cort Tamise		87.0	Et par desous li cort Tamise		89.0	Et par devant li cort thamise		89.0	Et par desoz li cort Tramisse	
92	88.0	Sor la riviere est l'oz asise		90.0	Sos la riviere est l'os asise		90.0	Sor la riviere est l'oz asise		88.0	Sor la riviere est los assise		90.0	Sor la riviere est l'ost assise		90.0	Sus la rive fu l'oz asise	
93	89.0	Ne ce jor ne lor lut antendre		91.0	Ainc cel jor ne lor lut entendre		91.0	Ne ce jor ne lor lut entendre		89.0	Ainc cel jor ne lor lut entendre		91.0	Mais cel jor ne lor lut entendre		91.0	Ne cel jor ne lor vit entandre	
94	90.0	S'a logier non et as trez tandre		92.0	S'as tres non et as loges tendre		92.0	S'au tres non et au loges tendre		90.0	S'a loges non et a tref tendre		92.0	S'a trefs non et as loges tendre		92.0	S'a logier non et a trez tendre	
95	91.0	L'oz est sor la pree logiee		93.0	L'os est sos tamise logie		93.0	L'oz est sor Tamise logie		91.0	[270b] L'ost s'est sor Tamise logie		93.0	L'ost est sor thamise logee		93.0	Lor set sor Tramise alogiez	
96	92.0	Tote Tamise est herbergiee		94.0	Tote la pree est herbergie		94.0	Toute la pree est herbergie		92.0	En outre la pree est herbergie		94.0	Tote la pree est herbegee		94.0	Tote la pree est herbergie	
97	93.0	De paveillons viez et vermauz		95.0	De pavillons clers et vermaus		95.0	De paveillons verz et vermeuz		93.0	De pavillons vers et vermaus		95.0	De paveillons vers et vermelz		95.0	Mes paveillons verz et vermiauz	
98	94.0	Es colors se fiert li solauz		96.0	Es colors se fiert li solaus		96.0	Es color se fiert li soleuz		94.0	Es colors se fiert li solaus		96.0	Es colors se fiert li soleulz		96.0	As colors se fiert li soleuz	
99	95.0	Si reflanboie la riviere		97.0	Si reflamboie la riviere		97.0	S'en reflamboie la riviere		95.0	Si reflambioit la riviere		97.0	S'en reflamboie la riviere		97.0	S'an reflablie la riveure	
100	96.0	Plus d'une grant liue pleniere		98.0	Plus d'une grant liue pleniere		98.0	Plus d'une grant liue planiere		96.0	Plus d'une grant lune pleniere		98.0	Plus d'une grant lue pleniere		98.0	Plus d'une loy pleniere	
